2014-09-25 11:35:06,102 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.example:newapp:1.0-SNAPSHOT @ D:\sampleWorkSpace\newapp\pom.xml.
2014-09-25 11:35:06,634 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.2 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:35:07,649 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.1_3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:35:11,900 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.2 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:35:11,962 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.1_3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:35:15,384 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /newapp/src/main/java
2014-09-25 11:35:15,384 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /newapp/src/main/resources
2014-09-25 11:35:15,384 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /newapp/src/test/java
2014-09-25 11:35:15,384 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /newapp/src/test/resources
2014-09-25 11:35:16,334 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.example:newapp:1.0-SNAPSHOT @ D:\sampleWorkSpace\newapp\pom.xml.
2014-09-25 11:35:16,397 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.2 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:35:16,444 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.1_3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:35:18,553 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 13 sec
2014-09-25 11:35:19,053 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.2 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:35:19,085 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.1_3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:35:20,678 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.2 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:35:20,710 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.1_3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:35:21,156 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 11:35:21,163 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2014-09-25 11:35:21,175 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 11:35:21,177 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 11:48:03,887 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 11:48:03,903 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2014-09-25 11:48:03,903 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 11:48:03,903 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 11:48:12,406 [Worker-25] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for newapp
2014-09-25 11:48:12,672 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 11:48:12,688 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2014-09-25 11:48:12,688 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 11:48:12,688 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 11:52:22,512 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.example:newapp:1.0-SNAPSHOT @ D:\sampleWorkSpace\newapp\pom.xml.
2014-09-25 11:52:22,512 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.example:newapp:1.0-SNAPSHOT @ D:\sampleWorkSpace\newapp\pom.xml.
2014-09-25 11:52:24,981 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.2 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:52:24,981 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.2 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:52:25,778 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.1_3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:52:25,778 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.1_3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:52:33,403 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.2 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:52:33,434 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.1_3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:52:35,919 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 11:52:35,919 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2014-09-25 11:52:35,981 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 11:52:35,997 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 11:52:37,794 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.example:newapp:1.0-SNAPSHOT @ D:\sampleWorkSpace\newapp\pom.xml.
2014-09-25 11:52:37,903 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.2 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:52:37,934 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.1_3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:52:38,419 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.2 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:52:38,450 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.1_3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:52:39,846 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.2 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:52:39,880 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cglib:cglib-nodep:jar:2.1_3 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2014-09-25 11:52:40,296 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 11:52:40,300 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 11:52:40,302 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 11:52:40,304 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 12:49:45,699 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 12:49:45,699 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 12:49:45,699 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 12:49:45,699 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 12:54:18,513 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 12:54:18,701 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2014-09-25 12:54:18,701 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 12:54:18,717 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 12:55:30,958 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 12:55:30,958 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 12:55:30,974 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 12:55:30,974 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 12:55:37,834 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 12:55:37,834 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2014-09-25 12:55:37,834 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 12:55:37,834 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 12:56:48,929 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 12:56:48,929 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2014-09-25 12:56:48,929 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 12:56:48,929 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 12:57:48,828 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 12:57:48,828 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 12:57:48,828 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 12:57:48,828 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 12:57:59,388 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 12:57:59,404 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 12:57:59,404 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 12:57:59,404 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:15:15,650 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:15:15,652 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 13:15:15,656 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:15:15,658 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:20:47,664 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:20:47,664 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2014-09-25 13:20:47,664 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:20:47,664 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:21:53,883 [Worker-68] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:21:53,886 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 13:21:53,889 [Worker-68] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:21:53,891 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:22:33,405 [Worker-68] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:22:33,407 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 13:22:33,409 [Worker-68] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:22:33,411 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:23:07,805 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:23:07,807 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 13:23:07,810 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:23:07,812 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:23:42,954 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:23:42,957 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 13:23:42,959 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:23:42,961 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:31:11,599 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:31:11,599 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2014-09-25 13:31:11,599 [Worker-64] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:31:11,599 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:31:59,633 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:31:59,633 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 13:31:59,633 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:31:59,648 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:32:15,348 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:32:15,348 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 13:32:15,364 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:32:15,364 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:33:21,346 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:33:21,349 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 13:33:21,351 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:33:21,352 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:33:36,173 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:33:36,176 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 13:33:36,178 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:33:36,179 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:34:25,428 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:34:25,428 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 13:34:25,428 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:34:25,443 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:35:04,143 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:35:04,143 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 13:35:04,143 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:35:04,143 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:37:04,264 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:37:04,264 [Worker-83] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 13:37:04,264 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:37:04,280 [Worker-83] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
